Country.Name,Indicator.Code,Value,Year
Argentina,PUBS.TOTL,12,1991
Bolivia,PUBS.TOTL,0,1991
Brazil,PUBS.TOTL,26,1991
Chile,PUBS.TOTL,10,1991
Colombia,PUBS.TOTL,2,1991
Costa Rica,PUBS.TOTL,7,1991
Cuba,PUBS.TOTL,0,1991
Ecuador,PUBS.TOTL,0,1991
El Salvador,PUBS.TOTL,0,1991
Guatemala,PUBS.TOTL,0,1991
Honduras,PUBS.TOTL,0,1991
Mexico,PUBS.TOTL,26,1991
Nicaragua,PUBS.TOTL,0,1991
Panama,PUBS.TOTL,8,1991
Paraguay,PUBS.TOTL,0,1991
Peru,PUBS.TOTL,5,1991
Uruguay,PUBS.TOTL,0,1991
Venezuela,PUBS.TOTL,9,1991
Canada,PUBS.TOTL,247,1991
United States,PUBS.TOTL,1049,1991
Argentina,PUBS.TOTL,18,1992
Bolivia,PUBS.TOTL,0,1992
Brazil,PUBS.TOTL,31,1992
Chile,PUBS.TOTL,15,1992
Colombia,PUBS.TOTL,4,1992
Costa Rica,PUBS.TOTL,5,1992
Cuba,PUBS.TOTL,0,1992
Ecuador,PUBS.TOTL,0,1992
El Salvador,PUBS.TOTL,0,1992
Guatemala,PUBS.TOTL,0,1992
Honduras,PUBS.TOTL,0,1992
Mexico,PUBS.TOTL,26,1992
Nicaragua,PUBS.TOTL,2,1992
Panama,PUBS.TOTL,14,1992
Paraguay,PUBS.TOTL,0,1992
Peru,PUBS.TOTL,0,1992
Uruguay,PUBS.TOTL,0,1992
Venezuela,PUBS.TOTL,10,1992
Canada,PUBS.TOTL,261,1992
United States,PUBS.TOTL,990,1992
Argentina,PUBS.TOTL,10,1993
Bolivia,PUBS.TOTL,0,1993
Brazil,PUBS.TOTL,37,1993
Chile,PUBS.TOTL,16,1993
Colombia,PUBS.TOTL,5,1993
Costa Rica,PUBS.TOTL,5,1993
Cuba,PUBS.TOTL,0,1993
Ecuador,PUBS.TOTL,0,1993
El Salvador,PUBS.TOTL,0,1993
Guatemala,PUBS.TOTL,0,1993
Honduras,PUBS.TOTL,0,1993
Mexico,PUBS.TOTL,33,1993
Nicaragua,PUBS.TOTL,0,1993
